orig.ident	nCount_Spatial	nFeature_Spatial	ident	in_tissue	row	col	imagerow	imagecol	cluster.init	spatial.cluster	TransformerST
SeuratProject	9252	3084	SeuratProject	1	73	99	7920	6241	3	3	0
SeuratProject	15094	4599	SeuratProject	1	20	110	2893	6778	3	3	5
SeuratProject	5047	2254	SeuratProject	1	65	97	7163	6123	3	3	4
SeuratProject	4028	1826	SeuratProject	1	53	49	6059	3496	3	3	2
SeuratProject	27709	5583	SeuratProject	1	17	49	2649	3454	10	10	0
SeuratProject	13151	4462	SeuratProject	1	70	106	7631	6618	3	6	5
SeuratProject	4973	2137	SeuratProject	1	56	78	6324	5078	3	3	4
SeuratProject	8302	3293	SeuratProject	1	30	54	3877	3741	3	3	0
SeuratProject	1883	1039	SeuratProject	1	75	79	8123	5154	3	3	7
SeuratProject	15569	4701	SeuratProject	1	41	107	4884	6639	3	3	1
SeuratProject	8148	3259	SeuratProject	1	23	121	3169	7380	3	3	9
SeuratProject	15949	4925	SeuratProject	1	48	76	5567	4960	3	3	0
SeuratProject	5982	2258	SeuratProject	1	38	4	4668	1029	3	3	0
SeuratProject	4729	2009	SeuratProject	1	48	94	5555	5939	3	3	2
SeuratProject	10218	3414	SeuratProject	1	38	56	4634	3859	3	3	0
SeuratProject	7203	2968	SeuratProject	1	44	12	5231	1471	3	3	5
SeuratProject	4992	2335	SeuratProject	1	42	42	5022	3102	3	3	2
SeuratProject	2771	1435	SeuratProject	1	30	86	3856	5483	3	3	1
SeuratProject	9786	3440	SeuratProject	1	25	25	3423	2157	3	6	0
SeuratProject	4487	2021	SeuratProject	1	37	37	4552	2824	3	3	2
SeuratProject	9865	3535	SeuratProject	1	60	100	6688	6280	3	3	9
SeuratProject	16322	4442	SeuratProject	1	61	29	6830	2416	3	3	0
SeuratProject	12892	3573	SeuratProject	1	69	35	7584	2752	3	8	0
SeuratProject	9626	3463	SeuratProject	1	57	65	6427	4371	3	3	8
SeuratProject	7011	2997	SeuratProject	1	59	123	6578	7531	3	3	4
SeuratProject	8147	2984	SeuratProject	1	38	100	4604	6254	3	3	1
SeuratProject	6023	2594	SeuratProject	1	42	48	5018	3429	3	3	8
SeuratProject	3185	1647	SeuratProject	1	73	9	7980	1342	3	3	9
SeuratProject	4003	1766	SeuratProject	1	58	54	6529	3774	3	3	2
SeuratProject	6943	2741	SeuratProject	1	12	20	2195	1869	3	3	8
SeuratProject	25551	5498	SeuratProject	1	56	40	6349	3009	10	10	0
SeuratProject	7757	3103	SeuratProject	1	69	99	7541	6236	3	6	10
SeuratProject	11479	4225	SeuratProject	1	48	84	5562	5395	3	3	0
SeuratProject	35216	7171	SeuratProject	1	21	115	2984	7051	8	3	0
SeuratProject	4331	2033	SeuratProject	1	13	65	2260	4320	3	3	9
SeuratProject	2554	1299	SeuratProject	1	9	53	1889	3662	3	3	4
SeuratProject	6894	2590	SeuratProject	1	57	11	6463	1432	3	6	8
SeuratProject	24226	5909	SeuratProject	1	61	67	6805	4485	8	3	7
SeuratProject	10468	3971	SeuratProject	1	28	66	3680	4392	3	3	3
SeuratProject	1877	978	SeuratProject	1	71	79	7744	5150	3	3	7
SeuratProject	29228	5757	SeuratProject	1	60	118	6676	7260	10	10	0
SeuratProject	4584	2130	SeuratProject	1	54	120	6106	7362	3	3	4
SeuratProject	12139	4149	SeuratProject	1	36	92	4420	5817	3	3	10
SeuratProject	12155	4051	SeuratProject	1	51	79	5849	5126	3	6	5
SeuratProject	8194	3002	SeuratProject	1	44	106	5168	6588	3	3	1
SeuratProject	1918	996	SeuratProject	1	74	32	8059	2595	3	3	2
SeuratProject	11382	3976	SeuratProject	1	46	98	5363	6155	3	3	9
SeuratProject	32653	6154	SeuratProject	1	59	15	6650	1652	9	3	3
SeuratProject	11227	3604	SeuratProject	1	63	5	7036	1112	3	3	6
SeuratProject	21077	5414	SeuratProject	1	61	39	6823	2961	8	10	0
SeuratProject	4092	1830	SeuratProject	1	50	30	5788	2458	3	3	2
SeuratProject	19321	5320	SeuratProject	1	32	30	4083	2437	5	5	0
SeuratProject	5437	2025	SeuratProject	1	41	113	4880	6966	3	3	6
SeuratProject	12133	4116	SeuratProject	1	68	58	7474	4003	3	3	7
SeuratProject	26359	6048	SeuratProject	1	55	107	6210	6655	8	3	3
SeuratProject	8030	3208	SeuratProject	1	34	112	4217	6903	3	3	1
SeuratProject	5214	2255	SeuratProject	1	65	15	7218	1659	3	3	1
SeuratProject	3230	1454	SeuratProject	1	46	18	5417	1800	3	3	4
SeuratProject	23676	6028	SeuratProject	1	32	24	4087	2110	8	5	0
SeuratProject	6477	2812	SeuratProject	1	59	125	6576	7640	3	3	5
SeuratProject	8836	3478	SeuratProject	1	71	93	7734	5912	3	3	7
SeuratProject	30196	5901	SeuratProject	1	64	34	7111	2692	9	8	3
SeuratProject	2922	1273	SeuratProject	1	8	34	1807	2627	3	3	0
SeuratProject	17819	5069	SeuratProject	1	50	18	5796	1805	3	3	0
SeuratProject	10630	3612	SeuratProject	1	57	13	6462	1541	3	3	8
SeuratProject	3953	1789	SeuratProject	1	28	104	3654	6460	3	3	1
SeuratProject	28571	5947	SeuratProject	1	25	63	3398	4225	8	5	1
SeuratProject	14497	4299	SeuratProject	1	36	102	4413	6361	6	3	9
SeuratProject	6615	2572	SeuratProject	1	37	43	4548	3151	3	3	0
SeuratProject	6553	2464	SeuratProject	1	63	47	7007	3399	3	3	6
SeuratProject	17039	5120	SeuratProject	1	25	109	3367	6729	3	3	5
SeuratProject	41997	7824	SeuratProject	1	56	102	6308	6384	8	3	3
SeuratProject	10400	3110	SeuratProject	1	33	61	4157	4126	3	10	6
SeuratProject	1962	1007	SeuratProject	1	75	71	8128	4719	3	3	7
SeuratProject	13299	4372	SeuratProject	1	17	73	2633	4760	3	3	9
SeuratProject	23571	5422	SeuratProject	1	72	102	7823	6403	10	10	6
SeuratProject	2111	1152	SeuratProject	1	43	71	5097	4682	3	3	4
SeuratProject	3264	1531	SeuratProject	1	49	59	5673	4035	3	3	4
SeuratProject	2982	1469	SeuratProject	1	41	31	4934	2502	3	3	2
SeuratProject	9143	3312	SeuratProject	1	34	62	4251	4181	3	3	6
SeuratProject	22484	4809	SeuratProject	1	29	5	3815	1073	10	10	0
SeuratProject	4635	2076	SeuratProject	1	28	100	3657	6243	3	3	4
SeuratProject	29490	6047	SeuratProject	1	39	13	4757	1520	10	10	0
SeuratProject	12306	3313	SeuratProject	1	73	101	7918	6350	3	10	6
SeuratProject	7550	2927	SeuratProject	1	15	27	2475	2254	3	3	8
SeuratProject	7052	2886	SeuratProject	1	74	16	8070	1724	3	3	4
SeuratProject	4839	2184	SeuratProject	1	61	75	6799	4920	3	3	4
SeuratProject	5470	2304	SeuratProject	1	57	79	6418	5133	3	3	10
SeuratProject	5041	2164	SeuratProject	1	52	60	5957	4093	3	3	4
SeuratProject	7305	2480	SeuratProject	1	53	55	6055	3822	6	6	0
SeuratProject	9584	3503	SeuratProject	1	49	77	5661	5015	3	3	10
SeuratProject	13817	4368	SeuratProject	1	61	11	6842	1437	3	3	3
SeuratProject	11535	4003	SeuratProject	1	47	25	5507	2182	3	3	10
SeuratProject	11035	3806	SeuratProject	1	24	118	3266	7218	3	6	1
SeuratProject	8492	3328	SeuratProject	1	73	5	7983	1124	3	3	10
SeuratProject	4817	2116	SeuratProject	1	71	97	7732	6130	3	3	4
SeuratProject	3266	1423	SeuratProject	1	71	13	7788	1557	3	3	0
SeuratProject	6817	2379	SeuratProject	1	70	32	7681	2590	3	8	3
SeuratProject	2650	1237	SeuratProject	1	33	67	4153	4452	3	3	4
SeuratProject	2789	1383	SeuratProject	1	70	72	7654	4768	3	3	7
SeuratProject	6225	2654	SeuratProject	1	41	97	4890	6095	3	3	10
SeuratProject	5426	2313	SeuratProject	1	68	2	7511	955	3	3	10
SeuratProject	2326	1163	SeuratProject	1	44	6	5235	1145	3	3	2
SeuratProject	2592	1218	SeuratProject	1	17	63	2640	4216	3	3	1
SeuratProject	2065	1170	SeuratProject	1	41	69	4909	4570	3	3	4
SeuratProject	7280	3095	SeuratProject	1	39	39	4740	2935	3	3	5
SeuratProject	3436	1567	SeuratProject	1	19	13	2863	1497	3	3	9
SeuratProject	3388	1717	SeuratProject	1	74	38	8055	2922	3	3	2
SeuratProject	9191	3173	SeuratProject	1	33	113	4122	6956	3	3	9
SeuratProject	22362	5587	SeuratProject	1	60	44	6725	3232	5	10	0
SeuratProject	4336	1814	SeuratProject	1	65	95	7165	6014	3	3	4
SeuratProject	3663	1805	SeuratProject	1	75	31	8155	2542	3	3	4
SeuratProject	5906	2289	SeuratProject	1	14	68	2352	4485	3	6	1
SeuratProject	13603	4586	SeuratProject	1	71	49	7764	3517	3	3	10
SeuratProject	7142	2805	SeuratProject	1	63	17	7028	1766	3	3	8
SeuratProject	3756	1742	SeuratProject	1	25	41	3412	3028	3	3	0
SeuratProject	2545	1092	SeuratProject	1	74	28	8062	2377	3	3	2
SeuratProject	6593	2766	SeuratProject	1	60	56	6717	3885	3	3	2
SeuratProject	12621	4484	SeuratProject	1	50	104	5738	6486	3	3	5
SeuratProject	3897	1752	SeuratProject	1	38	108	4599	6690	3	3	1
SeuratProject	3480	1582	SeuratProject	1	53	113	6016	6979	3	3	1
SeuratProject	5509	2056	SeuratProject	1	64	22	7119	2039	3	3	3
SeuratProject	9813	2907	SeuratProject	1	59	41	6633	3067	3	10	0
SeuratProject	2386	1084	SeuratProject	1	7	33	1713	2571	3	3	2
SeuratProject	9197	3412	SeuratProject	1	60	86	6697	5518	3	3	6
SeuratProject	28028	6430	SeuratProject	1	25	69	3394	4552	5	5	0
SeuratProject	3215	1533	SeuratProject	1	9	43	1896	3118	3	3	2
SeuratProject	4432	1934	SeuratProject	1	67	17	7406	1770	3	3	4
SeuratProject	30306	6308	SeuratProject	1	63	29	7020	2419	6	10	0
SeuratProject	5234	2248	SeuratProject	1	47	17	5512	1747	3	3	5
SeuratProject	5443	2245	SeuratProject	1	32	104	4033	6465	3	3	1
SeuratProject	23443	5684	SeuratProject	1	21	123	2979	7487	8	3	0
SeuratProject	5747	2589	SeuratProject	1	57	69	6424	4589	3	3	1
SeuratProject	11344	3795	SeuratProject	1	48	70	5571	4633	6	6	8
SeuratProject	5206	2217	SeuratProject	1	70	90	7642	5747	3	3	8
SeuratProject	4885	2200	SeuratProject	1	42	126	4966	7674	3	3	4
SeuratProject	15642	4702	SeuratProject	1	49	23	5698	2076	3	3	3
SeuratProject	4715	2101	SeuratProject	1	36	78	4429	5055	3	3	1
SeuratProject	17749	4658	SeuratProject	1	42	78	4998	5062	10	10	6
SeuratProject	6135	2648	SeuratProject	1	69	97	7542	6127	3	3	5
SeuratProject	20577	5103	SeuratProject	1	36	126	4397	7667	10	10	6
SeuratProject	2824	1374	SeuratProject	1	36	70	4435	4619	3	3	8
SeuratProject	5163	2229	SeuratProject	1	57	93	6408	5895	3	3	8
SeuratProject	10136	3764	SeuratProject	1	47	83	5468	5340	3	3	5
SeuratProject	12475	3838	SeuratProject	1	68	30	7492	2479	3	8	3
SeuratProject	4693	2122	SeuratProject	1	16	70	2541	4596	3	3	9
SeuratProject	12033	4205	SeuratProject	1	37	119	4497	7287	3	3	3
SeuratProject	6388	2434	SeuratProject	1	73	53	7951	3737	3	3	0
SeuratProject	2138	1203	SeuratProject	1	30	78	3861	5048	3	3	1
SeuratProject	6186	2579	SeuratProject	1	27	39	3603	2921	3	3	0
SeuratProject	7779	2801	SeuratProject	1	10	36	1995	2738	3	3	0
SeuratProject	8492	2831	SeuratProject	1	33	55	4161	3799	3	3	6
SeuratProject	3083	1421	SeuratProject	1	30	64	3871	4285	3	3	2
SeuratProject	7428	2649	SeuratProject	1	13	31	2283	2469	3	3	3
SeuratProject	6848	2832	SeuratProject	1	58	78	6513	5080	3	3	10
SeuratProject	8037	2583	SeuratProject	1	14	32	2377	2525	3	3	0
SeuratProject	8508	3235	SeuratProject	1	36	90	4421	5708	3	3	8
SeuratProject	18954	5445	SeuratProject	1	38	52	4636	3642	8	3	0
SeuratProject	4824	2126	SeuratProject	1	46	90	5369	5719	3	3	4
SeuratProject	14047	4355	SeuratProject	1	51	81	5848	5235	3	10	6
SeuratProject	5953	2338	SeuratProject	1	61	85	6793	5465	3	3	4
SeuratProject	6309	2749	SeuratProject	1	27	75	3579	4881	3	3	1
SeuratProject	3934	1805	SeuratProject	1	31	127	3923	7716	3	3	1
SeuratProject	3114	1612	SeuratProject	1	42	72	5002	4735	3	3	1
SeuratProject	9735	3702	SeuratProject	1	69	3	7605	1011	3	3	10
SeuratProject	7535	2688	SeuratProject	1	29	49	3786	3468	3	5	0
SeuratProject	2203	1095	SeuratProject	1	77	75	8315	4939	3	3	7
SeuratProject	10771	3781	SeuratProject	1	44	10	5233	1362	3	6	0
SeuratProject	7379	2891	SeuratProject	1	52	108	5925	6706	3	3	9
SeuratProject	5081	2264	SeuratProject	1	75	57	8137	3957	3	3	1
SeuratProject	4922	2112	SeuratProject	1	32	106	4032	6574	3	3	1
SeuratProject	4827	2273	SeuratProject	1	74	10	8074	1397	3	3	1
SeuratProject	15408	4678	SeuratProject	1	28	62	3682	4174	3	6	0
SeuratProject	45328	6518	SeuratProject	1	39	11	4758	1411	10	10	6
SeuratProject	15790	4852	SeuratProject	1	61	13	6841	1546	3	3	3
SeuratProject	8641	3561	SeuratProject	1	56	120	6296	7364	3	3	10
SeuratProject	5447	2455	SeuratProject	1	53	115	6015	7088	3	3	8
SeuratProject	12937	4076	SeuratProject	1	75	13	8167	1562	3	9	3
SeuratProject	4604	2009	SeuratProject	1	44	124	5156	7568	3	3	4
SeuratProject	7363	2805	SeuratProject	1	61	9	6843	1328	3	3	1
SeuratProject	44953	7945	SeuratProject	1	27	73	3580	4772	5	3	0
SeuratProject	2499	1216	SeuratProject	1	74	96	8016	6079	3	3	7
SeuratProject	129	112	SeuratProject	1	38	88	4612	5601	3	3	2
SeuratProject	4442	1811	SeuratProject	1	52	14	5988	1589	3	3	9
SeuratProject	4224	1967	SeuratProject	1	42	44	5020	3211	3	3	0
SeuratProject	13425	4593	SeuratProject	1	64	78	7081	5087	3	3	1
SeuratProject	5353	2064	SeuratProject	1	48	28	5599	2347	3	3	4
SeuratProject	13572	4444	SeuratProject	1	37	11	4569	1409	3	3	0
SeuratProject	4483	2028	SeuratProject	1	75	99	8109	6243	3	3	2
SeuratProject	8281	3357	SeuratProject	1	32	98	4037	6139	3	3	1
SeuratProject	11310	4045	SeuratProject	1	17	23	2667	2039	3	3	3
SeuratProject	6060	2497	SeuratProject	1	22	12	3148	1446	3	3	9
SeuratProject	4685	2083	SeuratProject	1	55	125	6198	7635	3	3	4
SeuratProject	5245	2325	SeuratProject	1	22	28	3137	2317	3	3	9
SeuratProject	7234	2801	SeuratProject	1	49	65	5669	4362	3	3	3
SeuratProject	15544	4446	SeuratProject	1	26	56	3497	3845	3	3	0
SeuratProject	3460	1666	SeuratProject	1	51	111	5828	6868	3	3	2
SeuratProject	13327	3688	SeuratProject	1	41	17	4944	1740	6	6	6
SeuratProject	12140	4247	SeuratProject	1	49	97	5648	6104	3	3	0
SeuratProject	7333	2898	SeuratProject	1	53	33	6070	2625	3	3	5
SeuratProject	17203	4528	SeuratProject	1	60	120	6674	7369	10	10	6
SeuratProject	23454	4858	SeuratProject	1	28	46	3693	3303	9	4	0
SeuratProject	18610	4730	SeuratProject	1	63	45	7009	3290	3	10	6
SeuratProject	7693	2510	SeuratProject	1	68	34	7490	2697	3	8	3
SeuratProject	9337	3410	SeuratProject	1	26	88	3476	5587	3	3	1
SeuratProject	32939	5553	SeuratProject	1	58	34	6543	2685	9	10	0
SeuratProject	5422	2268	SeuratProject	1	40	18	4848	1793	3	3	6
SeuratProject	11680	3983	SeuratProject	1	29	19	3806	1835	3	3	3
SeuratProject	7996	3035	SeuratProject	1	58	112	6490	6931	3	3	9
SeuratProject	3910	1730	SeuratProject	1	16	64	2545	4269	3	3	1
SeuratProject	4017	1798	SeuratProject	1	24	28	3326	2319	3	3	9
SeuratProject	9912	3728	SeuratProject	1	51	101	5835	6324	3	3	5
SeuratProject	6881	2920	SeuratProject	1	48	106	5547	6593	3	3	1
SeuratProject	5391	2315	SeuratProject	1	28	122	3642	7440	3	3	1
SeuratProject	13620	4355	SeuratProject	1	32	44	4073	3199	3	3	0
SeuratProject	11504	3844	SeuratProject	1	64	110	7060	6829	3	3	6
SeuratProject	5626	2474	SeuratProject	1	40	38	4835	2882	3	3	5
SeuratProject	27232	6113	SeuratProject	1	15	35	2469	2689	10	10	0
SeuratProject	8034	3086	SeuratProject	1	46	82	5374	5284	3	3	8
SeuratProject	15257	4716	SeuratProject	1	64	72	7085	4761	6	6	7
SeuratProject	2381	1162	SeuratProject	1	29	75	3768	4883	3	3	1
SeuratProject	4430	2037	SeuratProject	1	21	55	3024	3785	3	3	2
SeuratProject	6461	2548	SeuratProject	1	34	106	4221	6576	3	3	1
SeuratProject	6288	2420	SeuratProject	1	58	24	6549	2141	3	3	3
SeuratProject	29312	6863	SeuratProject	1	36	54	4446	3748	10	10	0
SeuratProject	4489	1910	SeuratProject	1	53	13	6083	1536	3	3	1
SeuratProject	5598	2492	SeuratProject	1	60	72	6707	4756	3	3	10
SeuratProject	11725	4112	SeuratProject	1	41	93	4893	5877	3	3	10
SeuratProject	17151	5015	SeuratProject	1	56	20	6363	1921	8	5	3
SeuratProject	11157	3248	SeuratProject	1	68	26	7495	2261	3	8	3
SeuratProject	16844	5081	SeuratProject	1	27	65	3586	4336	5	5	3
SeuratProject	4466	2054	SeuratProject	1	34	20	4279	1895	3	3	8
SeuratProject	26863	5504	SeuratProject	1	53	81	6038	5238	10	10	6
SeuratProject	6532	2525	SeuratProject	1	31	35	3985	2708	3	6	0
SeuratProject	11499	3992	SeuratProject	1	64	68	7088	4543	3	5	7
SeuratProject	5130	2166	SeuratProject	1	56	58	6337	3989	3	3	2
SeuratProject	2561	1332	SeuratProject	1	74	84	8025	5425	3	3	7
SeuratProject	9469	3434	SeuratProject	1	51	95	5839	5997	3	3	6
SeuratProject	17101	4427	SeuratProject	1	53	19	6079	1863	6	3	0
SeuratProject	4560	1991	SeuratProject	1	22	52	3121	3623	3	3	2
SeuratProject	9453	3737	SeuratProject	1	67	105	7347	6560	3	3	6
SeuratProject	7122	2489	SeuratProject	1	64	58	7095	3999	3	3	3
SeuratProject	9736	3337	SeuratProject	1	63	89	6979	5685	3	3	3
SeuratProject	3962	1779	SeuratProject	1	71	65	7753	4388	3	3	7
SeuratProject	6310	2884	SeuratProject	1	42	26	5033	2231	3	3	4
SeuratProject	9457	3307	SeuratProject	1	68	54	7476	3785	3	2	7
SeuratProject	9145	2831	SeuratProject	1	64	26	7116	2257	3	8	3
